จำนวนประชากรกลางปี จำแนกตามเพศ ภาค และจังหวัด (จากกระทรวงสาธารณสุข) พ.ศ. 2555-2566 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หน่วย: คน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2555,,,2556,,,2557,,,2558,,,2559,,,2560,,,2561,,,2562,,,2563,,,2564,,,2565,,,2566,,
ภาค,จังหวัด,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง,รวม,ชาย,หญิง
,แพร่,"458,178","223,030","235,148","456,841","222,115","234,726","455,079","221,047","234,032","452,958","219,741","233,217","450,565","218,359","232,206","448,160","217,006","231,154","445,766","215,628","230,138","442,813","214,029","228,784","438,923","211,883","227,040","435,338","209,836","225,502","431,977","207,926","224,051","427,828","205,601","542,884"
,น่าน,"477,142","240,666","236,476","477,793","240,760","237,033","478,088","240,718","237,370","478,003","240,647","237,356","477,938","240,516","237,422","478,093","240,452","237,641","477,648","239,972","237,676","476,842","239,224","237,618","475,697","238,423","237,274","474,516","237,563","236,953","473,414","236,660","236,754","471,834","235,681","89,450"
,พะเยา,"487,296","238,496","248,800","487,433","238,319","249,114","485,599","237,331","248,268","482,574","235,762","246,812","478,883","234,034","244,849","475,991","232,628","243,363","473,909","231,532","242,377","471,403","230,155","241,248","467,411","227,905","239,506","463,502","225,654","237,848","460,520","223,837","236,683","457,330","222,032","256,174"
,เชียงราย,"1,199,539","590,102","609,437","1,202,542","591,240","611,302","1,206,179","592,713","613,466","1,183,878","581,846","602,032","1,162,097","571,020","591,077","1,166,461","572,662","593,799","1,170,232","573,883","596,349","1,173,267","574,593","598,674","1,171,778","573,139","598,639","1,168,543","570,867","597,676","1,167,752","569,772","597,980","1,166,029","568,347","730,779"
,แม่ฮ่องสอน,"244,202","125,201","119,001","245,453","125,676","119,777","247,364","126,522","120,842","239,299","122,296","117,003","231,192","118,069","113,123","233,632","119,181","114,451","237,436","121,014","116,422","240,220","122,179","118,041","240,819","122,152","118,667","241,222","122,151","119,071","241,865","122,337","119,528","242,317","122,436","163,195"
,นครสวรรค์,"1,072,516","525,187","547,329","1,073,245","525,460","547,785","1,072,949","525,249","547,700","1,071,467","524,389","547,078","1,067,431","521,971","545,460","1,064,055","519,880","544,175","1,062,699","519,180","543,519","1,059,927","517,726","542,201","1,048,112","511,385","536,727","1,035,700","504,862","530,838","1,029,949","501,784","528,165","1,023,365","498,131","325,448"
,อุทัยธานี,"328,492","161,534","166,958","329,242","161,876","167,366","329,858","162,141","167,717","330,311","162,300","168,011","330,148","162,167","167,981","329,666","161,769","167,897","329,205","161,300","167,905","328,530","160,840","167,690","326,761","159,855","166,906","325,025","158,893","166,132","324,019","158,293","165,726","322,585","157,453","267,444"
,กำแพงเพชร,"726,782","361,209","365,573","728,093","361,689","366,404","729,076","362,042","367,034","729,296","362,001","367,295","728,718","361,549","367,169","728,058","361,074","366,984","726,994","360,218","366,776","725,253","358,975","366,278","718,427","355,117","363,310","711,588","351,292","360,296","708,881","349,765","359,116","705,257","347,772","370,960"
,ตาก,"528,531","267,431","261,100","529,199","267,117","262,082","535,953","270,503","265,450","531,549","267,904","263,645","526,558","265,118","261,440","532,237","267,953","264,284","537,702","270,499","267,203","542,141","272,337","269,804","543,387","272,508","270,879","544,261","272,644","271,617","546,129","273,389","272,740","547,644","274,014","274,763"
,สุโขทัย,"602,053","293,807","308,246","602,657","293,962","308,695","602,587","293,860","308,727","601,791","293,306","308,485","600,362","292,395","307,967","599,140","291,617","307,523","597,639","290,510","307,129","595,494","289,106","306,388","590,789","286,511","304,278","585,913","283,793","302,120","582,772","282,006","300,766","579,001","280,042","412,180"
,พิษณุโลก,"852,864","419,077","433,787","855,374","420,272","435,102","857,682","421,145","436,537","860,559","421,955","438,604","863,299","422,737","440,562","864,208","423,138","441,070","864,644","423,403","441,241","864,488","423,000","441,488","855,756","418,795","436,961","846,815","414,425","432,390","844,247","412,638","431,609","841,323","410,822","940,443"
,พิจิตร,"549,541","269,265","280,276","549,126","268,990","280,136","548,199","268,444","279,755","546,486","267,563","278,923","544,183","266,371","277,812","542,110","265,209","276,901","540,019","263,918","276,101","537,221","262,276","274,945","533,688","260,361","273,327","530,233","258,485","271,748","527,051","256,831","270,220","523,294","254,952","1,286,706"
,เพชรบูรณ์,"992,255","493,490","498,765","994,050","493,955","500,095","995,102","494,051","501,051","995,383","493,809","501,574","994,142","492,703","501,439","993,392","491,775","501,617","993,024","491,293","501,731","991,549","490,339","501,210","985,259","486,647","498,612","978,211","482,353","495,858","973,899","479,449","494,450","968,386","476,233","969,096"
ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,"21,641,689","10,795,068","10,846,621","21,736,455","10,839,035","10,897,420","21,810,332","10,872,126","10,938,206","21,861,423","10,891,462","10,969,961","21,891,425","10,898,130","10,993,295","21,925,925","10,907,618","11,018,307","21,958,131","10,914,372","11,043,759","21,967,951","10,909,850","11,058,101","21,882,786","10,856,766","11,026,020","21,788,250","10,797,386","10,990,864","21,753,292","10,770,082","10,983,210","21,696,212","10,734,499","10,961,713"
,นครราชสีมา,"2,593,246","1,282,246","1,311,000","2,605,666","1,288,013","1,317,653","2,615,341","1,292,424","1,322,917","2,623,008","1,295,595","1,327,413","2,626,690","1,296,014","1,330,676","2,631,594","1,297,378","1,334,216","2,638,687","1,300,167","1,338,520","2,643,204","1,301,314","1,341,890","2,636,473","1,296,553","1,339,920","2,629,023","1,291,415","1,337,608","2,627,292","1,289,116","1,338,176","779,917","1,285,418","1,337,523"
,บุรีรัมย์,"1,562,912","779,954","782,958","1,570,090","783,533","786,557","1,576,343","786,533","789,810","1,581,198","788,554","792,644","1,584,745","789,844","794,901","1,588,282","791,122","797,160","1,591,632","791,994","799,638","1,593,434","792,043","801,391","1,586,510","787,854","798,656","1,578,458","782,916","795,542","1,576,213","780,977","795,236","241,157","778,712","794,083"
,สุรินทร์,"1,383,338","692,033","691,305","1,387,235","693,728","693,507","1,389,915","694,864","695,051","1,392,834","696,265","696,569","1,394,263","696,564","697,699","1,395,250","696,452","698,798","1,396,289","696,459","699,830","1,395,999","695,802","700,197","1,386,101","690,059","696,042","1,375,749","684,072","691,677","1,373,026","682,307","690,719","132,017","679,862","688,888"
,ศรีสะเกษ,"1,455,287","727,685","727,602","1,460,199","730,113","730,086","1,463,620","731,658","731,962","1,466,496","732,699","733,797","1,468,546","733,507","735,039","1,470,137","734,020","736,117","1,471,434","734,071","737,363","1,471,783","733,868","737,915","1,464,512","729,668","734,844","1,456,828","725,142","731,686","1,454,826","723,815","731,011","217,954","721,897","729,238"
,อุบลราชธานี,"1,821,489","913,853","907,636","1,831,721","919,090","912,631","1,840,596","923,502","917,094","1,847,319","926,468","920,851","1,852,718","928,685","924,033","1,858,789","931,333","927,456","1,864,544","933,642","930,902","1,868,764","935,109","933,655","1,864,600","932,359","932,241","1,859,494","928,994","930,500","1,860,591","928,720","931,871","542,884","928,108","932,544"
,ยโสธร,"539,560","270,640","268,920","540,326","271,028","269,298","540,297","271,122","269,175","540,071","271,071","269,000","539,742","270,794","268,948","539,406","270,435","268,971","538,837","269,896","268,941","537,690","269,056","268,634","535,561","267,697","267,864","533,604","266,279","267,325","532,144","265,145","266,999","89,450","263,757","266,107"
,ชัยภูมิ,"1,130,228","561,997","568,231","1,134,379","564,037","570,342","1,136,386","564,981","571,405","1,137,238","565,173","572,065","1,137,376","564,757","572,619","1,137,873","564,490","573,383","1,138,091","563,910","574,181","1,137,011","562,671","574,340","1,130,032","558,682","571,350","1,122,452","554,358","568,094","1,118,897","552,000","566,897","256,174","549,316","565,060"
,อำนาจเจริญ,"372,868","186,754","186,114","374,096","187,275","186,821","375,039","187,631","187,408","375,500","187,764","187,736","375,987","187,917","188,070","376,839","188,224","188,615","377,581","188,414","189,167","377,738","188,354","189,384","376,529","187,624","188,905","375,499","186,874","188,625","375,099","186,517","188,582","730,779","185,901","188,085"
