id,region,province,sex,value,year
284,ตะวันออกเฉียงเหนือ,มุกดาหาร,หญิง,171240,2556
285,ใต้,นครศรีธรรมราช,ชาย,762404,2556
286,ใต้,กระบี่,ชาย,223263,2556
287,ใต้,พังงา,ชาย,129301,2556
288,ใต้,ภูเก็ต,ชาย,172797,2556
289,ใต้,สุราษฎร์ธานี,ชาย,507752,2556
290,ใต้,ระนอง,ชาย,91376,2556
291,ใต้,ชุมพร,ชาย,246696,2556
292,ใต้,สงขลา,ชาย,675616,2556
293,ใต้,สตูล,ชาย,153302,2556
294,ใต้,ตรัง,ชาย,310712,2556
295,ใต้,พัทลุง,ชาย,252457,2556
296,ใต้,ปัตตานี,ชาย,333904,2556
297,ใต้,ยะลา,ชาย,249730,2556
298,ใต้,นราธิวาส,ชาย,377401,2556
299,ใต้,นครศรีธรรมราช,หญิง,775961,2556
300,ใต้,กระบี่,หญิง,224666,2556
301,ใต้,พังงา,หญิง,129136,2556
302,ใต้,ภูเก็ต,หญิง,192417,2556
303,ใต้,สุราษฎร์ธานี,หญิง,519798,2556
304,ใต้,ระนอง,หญิง,87336,2556
305,ใต้,ชุมพร,หญิง,250106,2556
306,ใต้,สงขลา,หญิง,708617,2556
307,ใต้,สตูล,หญิง,154534,2556
308,ใต้,ตรัง,หญิง,323268,2556
309,ใต้,พัทลุง,หญิง,263800,2556
310,ใต้,ปัตตานี,หญิง,341323,2556
311,ใต้,ยะลา,หญิง,253746,2556
312,ใต้,นราธิวาส,หญิง,384370,2556
313,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,ชาย,31922490,2557
314,ทั่วราชอาณาจักร,ทั่วราชอาณาจักร,หญิง,33032823,2557
315,กรุงเทพมหานคร,กรุงเทพมหานคร,ชาย,2695220,2557
316,กรุงเทพมหานคร,กรุงเทพมหานคร,หญิง,2994048,2557
317,กลาง,สมุทรปราการ,ชาย,601223,2557
318,กลาง,นนทบุรี,ชาย,546068,2557
319,กลาง,ปทุมธานี,ชาย,505435,2557
320,กลาง,พระนครศรีอยุธยา,ชาย,386223,2557
321,กลาง,อ่างทอง,ชาย,136219,2557
322,กลาง,ลพบุรี,ชาย,380423,2557
323,กลาง,สิงห์บุรี,ชาย,101283,2557
324,กลาง,ชัยนาท,ชาย,160422,2557
325,กลาง,สระบุรี,ชาย,312330,2557
326,กลาง,ชลบุรี,ชาย,688718,2557
327,กลาง,ระยอง,ชาย,328944,2557
328,กลาง,จันทบุรี,ชาย,258412,2557
329,กลาง,ตราด,ชาย,111917,2557
330,กลาง,ฉะเชิงเทรา,ชาย,339545,2557
331,กลาง,ปราจีนบุรี,ชาย,236623,2557
332,กลาง,นครนายก,ชาย,127170,2557
333,กลาง,สระแก้ว,ชาย,277128,2557
334,กลาง,ราชบุรี,ชาย,415147,2557
335,กลาง,กาญจนบุรี,ชาย,423787,2557
336,กลาง,สุพรรณบุรี,ชาย,410906,2557
